timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623067679972,13,Index page,200,OK,Thread Group 1-1,text,true,,2457,542,1,1,http://127.0.0.1/tms/admin/index.php,13,0,1
1623067679987,10,Login form -exe,200,OK,Thread Group 1-1,text,true,,2476,715,1,1,http://127.0.0.1/tms/admin/index.php,10,0,0
1623067679997,24,Dashboard page,200,OK,Thread Group 1-1,text,true,,9871,546,1,1,http://127.0.0.1/tms/admin/dashboard.php,19,0,0
1623067680021,24,Manage pages,200,OK,Thread Group 1-1,text,true,,11023,553,1,1,http://127.0.0.1/tms/admin/manage-pages.php,21,0,0
1623067680147,25,Select the page to edit,200,OK,Thread Group 1-1,text,true,,11290,569,1,1,http://127.0.0.1/tms/admin/manage-pages.php?type=contact,19,0,0
1623067680175,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,533,0,1,1,null,0,0,0
1623067680176,21,Edit the selected page,200,OK,Thread Group 1-1,text,true,,11108,1294,1,1,http://127.0.0.1/tms/admin/manage-pages.php?type=manage-pages.php?type=aboutus,17,0,0
1623067680197,13,Logout,200,OK,Thread Group 1-1,text,true,,2875,1106,1,1,http://127.0.0.1/tms/admin/index.php,7,0,0
1623067680197,7,Logout-0,302,Found,Thread Group 1-1,text,true,,477,563,1,1,http://127.0.0.1/tms/admin/logout.php,7,0,0
1623067680204,6,Logout-1,200,OK,Thread Group 1-1,text,true,,2398,543,1,1,http://127.0.0.1/tms/admin/index.php,6,0,0
1623067680211,6,Index page,200,OK,Thread Group 1-1,text,true,,2398,543,1,1,http://127.0.0.1/tms/admin/index.php,6,0,0
